PLAYER,NATIONALITY,TYPE,PRICE PAID,Team Name
Avanish Rao Aravelly,Indian,Wicket-Keeper,"20,00,000",Sunrisers Hyderabad
Mustafizur Rahman,Overseas,Bowler,"2,00,00,000",Sunrisers Hyderabad
Daryl Mitchell,Overseas,All-Rounder,"14,00,00,000",Sunrisers Hyderabad
Sameer Rizvi,Indian,Batter,"8,40,00,000",Sunrisers Hyderabad
Rachin Ravindra,Overseas,All-Rounder,"1,80,00,000",Sunrisers Hyderabad
Shardul Thakur,Indian,All-Rounder,"4,00,00,000",Sunrisers Hyderabad
Ricky Bhui,Indian,Wicket-Keeper,"20,00,000",Sunrisers Hyderabad
Sumit Kumar,Indian,All-Rounder,"1,00,00,000",Sunrisers Hyderabad
Swastik Chhikara,Indian,Batter,"20,00,000",Sunrisers Hyderabad
Jhye Richardson,Overseas,Bowler,"5,00,00,000",Sunrisers Hyderabad
Shai Hope,Overseas,Wicket-Keeper,"75,00,000",Sunrisers Hyderabad
Rasikh Dar,Indian,Bowler,"20,00,000",Sunrisers Hyderabad
Kumar Kushagra,Indian,Wicket-Keeper,"7,20,00,000",Sunrisers Hyderabad
Tristan Stubbs,Overseas,Wicket-Keeper,"50,00,000",Sunrisers Hyderabad
Harry Brook,Overseas,Batter,"4,00,00,000",Sunrisers Hyderabad
Kartik Tyagi,Indian,Bowler,"60,00,000",Sunrisers Hyderabad
Spencer Johnson,Overseas,Bowler,"10,00,00,000",Sunrisers Hyderabad
Manav Suthar,Indian,Bowler,"20,00,000",Sunrisers Hyderabad
Robin Minz,Indian,Wicket-Keeper,"3,60,00,000",Sunrisers Hyderabad
Sushant Mishra,Indian,Bowler,"2,20,00,000",Sunrisers Hyderabad
Azmatullah Omarzai,Overseas,All-Rounder,"50,00,000",Sunrisers Hyderabad
Shahrukh Khan,Indian,All-Rounder,"7,40,00,000",Sunrisers Hyderabad
Umesh Yadav,Indian,Bowler,"5,80,00,000",Sunrisers Hyderabad
Mujeeb Rahman,Overseas,Bowler,"2,00,00,000",Sunrisers Hyderabad
Manish Pandey,Indian,Batter,"50,00,000",Sunrisers Hyderabad
Gus Atkinson,Overseas,Bowler,"1,00,00,000",Sunrisers Hyderabad
Angkrish Raghuvanshi,Indian,Batter,"20,00,000",Sunrisers Hyderabad
Mitchell  Starc,Overseas,Bowler,"24,75,00,000",Sunrisers Hyderabad
Sherfane Rutherford,Overseas,Batter,"1,50,00,000",Sunrisers Hyderabad
Ramandeep  Singh,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
K.S. Bharat,Indian,Wicket-Keeper,"50,00,000",Sunrisers Hyderabad
Chetan Sakariya,Indian,Bowler,"50,00,000",Sunrisers Hyderabad
Sakib Hussain,Indian,Bowler,"20,00,000",Sunrisers Hyderabad
Ashton Turner,Overseas,Batter,"1,00,00,000",Sunrisers Hyderabad
David Willey,Overseas,All-Rounder,"2,00,00,000",Sunrisers Hyderabad
M. Siddharth,Indian,Bowler,"2,40,00,000",Sunrisers Hyderabad
Shivam  Mavi,Indian,Bowler,"6,40,00,000",Sunrisers Hyderabad
Arshin Kulkarni,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
Mohd. Arshad Khan,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
Dilshan Madushanka,Overseas,Bowler,"4,60,00,000",Sunrisers Hyderabad
Shreyas Gopal,Indian,Bowler,"20,00,000",Sunrisers Hyderabad
Shivalik Sharma,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
Anshul Kamboj,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
Mohammad Nabi,Overseas,All-Rounder,"1,50,00,000",Sunrisers Hyderabad
Naman Dhir,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
Nuwan Thushara,Overseas,Bowler,"4,80,00,000",Sunrisers Hyderabad
Gerald Coetzee,Overseas,All-Rounder,"5,00,00,000",Sunrisers Hyderabad
Chris Woakes,Overseas,All-Rounder,"4,20,00,000",Sunrisers Hyderabad
Tanay Thyagarajann,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
Vishwanath Pratap Singh,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
Ashutosh Sharma,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
Shashank  Singh,Indian,Batter,"20,00,000",Sunrisers Hyderabad
